chunk,rows_processed,n_blacklisted,n_skipped,max_block,processed_after,ram_usage_gb
1,10000,0,0,853,0 days 00:00:00.060505,0.76
1000,10000000,0,79098,1662245,0 days 00:01:39.729066,0.84
2000,20000000,1,211119,2322303,0 days 00:03:16.195828,0.91
3000,30000000,1,221025,2357916,0 days 00:03:39.056137,0.91
4000,40000000,1,221180,,0 days 00:03:56.326081,0.91
5000,50000000,1,221399,2360684,0 days 00:04:13.820504,0.91
6000,60000000,1,221655,,0 days 00:04:30.922891,0.91
7000,70000000,1,221775,,0 days 00:04:48.039711,0.92
8000,80000000,1,222779,,0 days 00:05:05.553716,0.92
9000,90000000,1,222935,,0 days 00:05:22.480532,0.92
10000,100000000,1,223214,2367225,0 days 00:05:39.845539,0.91
11000,110000000,1,223528,2368846,0 days 00:05:57.135078,0.92
12000,120000000,1,224700,,0 days 00:07:09.893594,0.93
13000,130000000,1,226683,2382666,0 days 00:08:25.768754,0.94
14000,140000000,1,227488,2384726,0 days 00:08:52.494627,0.96
15000,150000000,1,228043,,0 days 00:09:23.725603,0.94
16000,160000000,1,232754,2404039,0 days 00:09:53.781158,1.0
17000,170000000,1,233893,,0 days 00:10:20.187777,0.94
18000,180000000,1,234290,,0 days 00:10:46.591238,0.94
19000,190000000,1,234989,,0 days 00:11:14.192877,0.94
20000,200000000,1,236770,2415839,0 days 00:11:40.453472,0.94
21000,210000000,1,240342,2425335,0 days 00:12:03.013696,0.94
22000,220000000,1,240559,2429260,0 days 00:12:23.408911,0.94
23000,230000000,1,241704,2434884,0 days 00:12:44.383401,0.94
24000,240000000,1,245182,2450916,0 days 00:13:06.410713,0.94
25000,250000000,1,300350,2683237,0 days 00:13:52.203318,0.96
26000,260000000,1,305464,2707472,0 days 00:14:16.407213,0.96
27000,270000000,1,362479,2977010,0 days 00:15:04.570797,0.97
28000,280000000,95212,574383,3613703,0 days 00:16:53.556234,1.12
29000,290000000,644413,887713,3842364,0 days 00:18:22.717379,1.41
30000,300000000,1298756,1316317,3967745,0 days 00:19:58.329948,1.85
31000,310000000,1771111,1648331,4084669,0 days 00:21:29.596334,1.98
32000,320000000,2286343,1927517,4168034,0 days 00:22:52.661759,2.12
33000,330000000,2777085,2260565,4231285,0 days 00:24:15.523359,2.26
34000,340000000,3263739,2578170,4287050,0 days 00:25:34.547798,2.89
35000,350000000,3708688,2793428,4344854,0 days 00:26:51.297451,3.01
36000,360000000,4125993,2991338,4411524,0 days 00:28:08.988970,3.13
37000,370000000,4505852,3151690,4483866,0 days 00:29:14.549955,3.23
38000,380000000,4960297,3353790,4561804,0 days 00:30:22.834696,3.35
39000,390000000,5464329,3570321,4630816,0 days 00:31:37.783345,3.51
40000,400000000,6032456,3855125,4685892,0 days 00:32:58.230693,3.66
41000,410000000,6575982,4163871,4730121,0 days 00:34:23.566511,4.84
42000,420000000,7166864,4574169,4769349,0 days 00:35:48.295543,5.07
43000,430000000,7757200,4966979,4812983,0 days 00:37:12.893193,5.3
44000,440000000,8373870,5474716,4851467,0 days 00:38:43.937029,5.57
45000,450000000,9117853,6102093,4885551,0 days 00:40:24.811012,5.89
46000,460000000,9837358,6623945,4921937,0 days 00:42:06.775964,6.17
47000,470000000,10429664,7058827,4960050,0 days 00:43:43.459822,6.39
48000,480000000,10987887,7430492,5004324,0 days 00:45:11.093659,6.57
49000,490000000,11506041,7796831,5047482,0 days 00:46:40.053426,6.74
50000,500000000,11996084,8050914,5092423,0 days 00:48:07.818200,8.9
51000,510000000,12436558,8274096,5137400,0 days 00:49:28.883258,9.03
52000,520000000,13007377,8456209,5185930,0 days 00:50:50.980773,9.16
53000,530000000,13597197,8617846,5237083,0 days 00:52:16.429824,9.28
54000,540000000,14152885,8776357,5285375,0 days 00:53:34.289859,9.4
55000,550000000,14641016,8920148,5336016,0 days 00:54:51.093654,9.51
56000,560000000,15074573,9052032,5385097,0 days 00:56:05.815811,9.6
57000,570000000,15561049,9153396,5429945,0 days 00:57:16.059741,9.7
58000,580000000,16030273,9261947,5470478,0 days 00:58:24.978268,9.83
59000,590000000,16605222,9378895,5508462,0 days 00:59:37.697285,9.91
60000,600000000,17111151,9514037,5550626,0 days 01:00:56.493579,10.02
61000,610000000,17667939,9641750,5589648,0 days 01:02:16.716089,10.13
62000,620000000,18269143,9786287,5630161,0 days 01:03:35.183588,10.26
63000,630000000,18910705,9902907,5671152,0 days 01:04:58.614614,10.39
64000,640000000,19535838,10040485,5714552,0 days 01:06:22.355026,10.52
65000,650000000,20165064,10306018,5759489,0 days 01:07:46.001292,10.65
66000,660000000,20734362,10450082,5807521,0 days 01:09:08.331247,10.77
67000,670000000,21306807,10577406,5853354,0 days 01:10:28.422286,10.88
68000,680000000,21713378,10670076,5897304,0 days 01:11:40.484544,10.97
69000,690000000,21976386,10756165,5938974,0 days 01:12:44.928633,11.02
70000,700000000,22251482,10825221,5978680,0 days 01:13:44.968701,11.08
71000,710000000,22731735,10927474,6021687,0 days 01:14:59.721752,11.18
72000,720000000,23352777,11013683,6066409,0 days 01:16:17.993738,11.3
73000,730000000,23865000,11107619,6110594,0 days 01:17:36.539265,11.41
74000,740000000,24284326,11232504,6153591,0 days 01:18:55.752962,11.5
75000,750000000,24607027,11319954,6195910,0 days 01:20:08.478784,11.57
76000,760000000,24907033,11405670,6237166,0 days 01:21:18.245128,11.63
77000,770000000,25259451,11492265,6279763,0 days 01:22:30.073961,11.7
78000,780000000,25530821,11597658,6322956,0 days 01:23:40.819171,11.76
79000,790000000,25759256,11684472,6364733,0 days 01:24:47.226172,11.81
80000,800000000,25992969,11776733,6406092,0 days 01:25:52.137399,11.86
81000,810000000,26247337,11871844,6452203,0 days 01:26:59.189220,11.91
82000,820000000,26569393,11982967,6503574,0 days 01:28:12.206830,11.98
83000,830000000,26876516,12110672,6552047,0 days 01:29:24.317840,12.04
84000,840000000,27199184,12243076,6601261,0 days 01:30:36.269019,12.11
85000,850000000,27580463,12380226,6649720,0 days 01:31:48.411120,12.19
86000,860000000,27913930,12517801,6697477,0 days 01:33:00.929824,12.26
87000,870000000,28224929,12663357,6743428,0 days 01:34:09.538497,12.33
88000,880000000,28497962,12800881,6788836,0 days 01:35:17.065809,12.39
89000,890000000,28708813,12906309,6827806,0 days 01:36:22.896165,12.43
90000,900000000,28958331,13023824,6867661,0 days 01:37:27.549595,12.49
91000,910000000,29210433,13140710,6909983,0 days 01:38:32.403774,12.55
92000,920000000,29485649,13271835,6951147,0 days 01:39:39.121217,12.61
93000,930000000,29739287,13385013,6994411,0 days 01:40:44.984080,12.67
94000,940000000,30022920,13507762,7034754,0 days 01:41:50.011968,12.73
95000,950000000,30311844,13643202,7079140,0 days 01:43:00.661446,12.79
96000,960000000,30591450,13770584,7123304,0 days 01:44:09.381391,12.86
97000,970000000,30854371,13911019,7163865,0 days 01:45:17.838159,12.91
98000,980000000,31066482,14010252,7208184,0 days 01:46:23.877873,12.96
99000,990000000,31376227,14151928,7247886,0 days 01:47:34.092954,13.02
100000,1000000000,31686922,14316334,7285983,0 days 01:48:43.773502,13.09
101000,1010000000,31932953,14446314,7328922,0 days 01:49:55.064384,17.22
102000,1020000000,32187123,14562434,7371601,0 days 01:50:57.331897,17.24
103000,1030000000,32488769,14693628,7416503,0 days 01:52:03.618602,17.3
104000,1040000000,32804004,14828756,7458658,0 days 01:53:11.892749,17.36
105000,1050000000,33155745,14981899,7499701,0 days 01:54:20.114443,17.44
106000,1060000000,33500646,15150509,7542861,0 days 01:55:29.799079,17.51
107000,1070000000,33852816,15315127,7586096,0 days 01:56:42.977299,17.58
108000,1080000000,34260926,15459305,7626751,0 days 01:57:53.149708,17.66
109000,1090000000,34588951,15613222,7670271,0 days 01:59:02.073422,17.74
110000,1100000000,34963981,15770574,7713334,0 days 02:00:10.754808,17.82
111000,1110000000,35344864,15948131,7751375,0 days 02:01:17.941987,17.89
112000,1120000000,35872524,16187118,7788775,0 days 02:02:29.772262,18.0
113000,1130000000,36331333,16412533,7825074,0 days 02:03:38.941687,18.1
114000,1140000000,36778086,16607067,7858632,0 days 02:04:46.209265,18.19
115000,1150000000,37434520,16801123,7891467,0 days 02:05:55.713139,18.32
116000,1160000000,37759060,16954487,7925956,0 days 02:06:59.602600,18.39
117000,1170000000,38099119,17083899,7961475,0 days 02:08:08.569012,18.46
118000,1180000000,38466517,17242491,7995714,0 days 02:09:18.273173,18.54
119000,1190000000,38846690,17390728,8030580,0 days 02:10:23.989623,18.62
120000,1200000000,39257551,17584528,8068136,0 days 02:11:33.017919,18.71
121000,1210000000,39597762,17694586,8105801,0 days 02:12:41.891851,18.78
122000,1220000000,39941995,17823425,8144487,0 days 02:13:50.950128,18.85
123000,1230000000,40241572,17961169,8181782,0 days 02:14:57.523512,18.92
124000,1240000000,40530426,18068854,8222386,0 days 02:16:01.249238,18.98
125000,1250000000,40839501,18164135,8257462,0 days 02:17:05.967524,19.05
