chunk,rows_processed,n_blacklisted,n_skipped,max_block,processed_after,ram_usage_gb
1,10000,0,259,9000025,0 days 00:43:13.607157,0.78
1000,10000000,0,92074,9032059,0 days 00:43:55.819576,0.96
2000,20000000,0,184709,9068329,0 days 00:44:39.472090,1.12
3000,30000000,0,261730,9103743,0 days 00:45:24.325315,1.4
4000,40000000,55819,346691,9134567,0 days 00:46:10.655228,1.52
5000,50000000,306281,437291,9169110,0 days 00:47:01.548432,1.94
6000,60000000,497740,529340,9206801,0 days 00:47:46.280279,2.0
7000,70000000,695336,627739,9247478,0 days 00:48:33.366051,2.07
8000,80000000,886437,723142,9285575,0 days 00:49:18.599979,2.14
9000,90000000,1080496,800117,9321666,0 days 00:50:03.607097,2.21
10000,100000000,1250127,867098,9361506,0 days 00:50:48.667987,2.26
11000,110000000,1429678,935099,9396742,0 days 00:51:31.952173,2.32
12000,120000000,1579369,995314,9426389,0 days 00:52:16.290012,2.87
13000,130000000,1760607,1060309,9454983,0 days 00:53:00.287110,2.93
14000,140000000,2008583,1134579,9482766,0 days 00:53:47.670716,3.01
15000,150000000,2205233,1203145,9512161,0 days 00:54:33.714842,3.08
16000,160000000,2422870,1271194,9546383,0 days 00:55:22.509156,3.16
17000,170000000,2638372,1336140,9575017,0 days 00:56:07.441043,3.24
18000,180000000,2871597,1402323,9609145,0 days 00:56:55.166181,3.28
19000,190000000,3081485,1468792,9638524,0 days 00:57:41.227452,3.34
20000,200000000,3244875,1539800,9661474,0 days 00:58:21.790365,3.38
21000,210000000,3433084,1620890,9685719,0 days 00:59:04.839333,3.44
22000,220000000,3659279,1695895,9712498,0 days 00:59:50.562834,3.51
23000,230000000,3907538,1768055,9744348,0 days 01:00:40.648347,3.59
24000,240000000,4169350,1844570,9778225,0 days 01:01:30.912187,3.66
25000,250000000,4424617,1928652,9811761,0 days 01:02:21.092892,3.73
26000,260000000,4681909,2008156,9840997,0 days 01:03:10.999681,3.8
27000,270000000,4922415,2080404,9870416,0 days 01:04:00.427929,3.86
28000,280000000,5212610,2166257,9899352,0 days 01:04:56.678021,4.96
29000,290000000,5515414,2259775,9929262,0 days 01:05:50.785095,5.05
30000,300000000,5867062,2348890,9959167,0 days 01:06:46.355965,5.14
31000,310000000,6223018,2432825,9988279,0 days 01:07:43.868071,5.24
32000,320000000,6546596,2514635,10018339,0 days 01:08:42.014214,5.31
33000,330000000,6908922,2606863,10046479,0 days 01:09:40.331823,5.4
34000,340000000,7247879,2723060,10076941,0 days 01:10:42.545531,5.48
35000,350000000,7565078,2833519,10104534,0 days 01:11:41.131216,5.57
36000,360000000,7918705,2926771,10132539,0 days 01:12:42.930760,5.65
37000,370000000,8318526,3030992,10161368,0 days 01:13:46.596369,5.75
38000,380000000,8698936,3129922,10190865,0 days 01:14:49.533203,5.84
39000,390000000,9081435,3223118,10220971,0 days 01:15:53.513058,5.94
40000,400000000,9438825,3317632,10250205,0 days 01:16:58.451162,6.03
41000,410000000,9783028,3402042,10279499,0 days 01:18:00.368734,6.11
42000,420000000,10085620,3475586,10304376,0 days 01:18:57.610336,6.18
43000,430000000,10346993,3540637,10325311,0 days 01:19:51.001602,6.25
44000,440000000,10622348,3607994,10346574,0 days 01:20:48.636878,6.32
45000,450000000,10938601,3679167,10370143,0 days 01:21:50.116368,6.4
46000,460000000,11240893,3749942,10391747,0 days 01:22:48.658195,6.47
47000,470000000,11554496,3821468,10414793,0 days 01:23:49.856443,6.54
48000,480000000,11874432,3895357,10436891,0 days 01:24:50.324003,6.61
49000,490000000,12208951,3968434,10458613,0 days 01:25:51.532286,6.68
50000,500000000,12542427,4046724,10481020,0 days 01:26:55.942834,6.75
51000,510000000,12780004,4115937,10499227,0 days 01:27:51.706783,6.81
52000,520000000,13037889,4194173,10517761,0 days 01:28:49.909703,6.87
53000,530000000,13289436,4270262,10535374,0 days 01:29:46.073582,6.92
54000,540000000,13586447,4344675,10553106,0 days 01:30:44.844954,6.99
55000,550000000,13871253,4415202,10571005,0 days 01:31:48.549948,9.07
56000,560000000,14161462,4487902,10589150,0 days 01:32:48.053910,9.14
57000,570000000,14480261,4568371,10607935,0 days 01:33:48.087637,9.21
58000,580000000,14758611,4641550,10625524,0 days 01:34:46.115946,9.28
59000,590000000,15007470,4755554,10641612,0 days 01:35:40.211447,9.33
60000,600000000,15199793,4844033,10656636,0 days 01:36:29.220704,9.37
61000,610000000,15431885,4943122,10672869,0 days 01:37:27.516069,9.43
62000,620000000,15645682,5053011,10688739,0 days 01:38:20.512550,9.48
63000,630000000,15858799,5150327,10703933,0 days 01:39:14.230480,9.53
64000,640000000,16079026,5234981,10719488,0 days 01:40:08.902036,9.57
65000,650000000,16306847,5326883,10735436,0 days 01:41:03.925139,9.62
66000,660000000,16519976,5410330,10750989,0 days 01:41:56.992943,9.67
67000,670000000,16679296,5485493,10765051,0 days 01:42:46.349242,9.71
68000,680000000,16852928,5575789,10778998,0 days 01:43:35.714810,9.74
69000,690000000,17006880,5660779,10792890,0 days 01:44:24.105468,9.78
70000,700000000,17149351,5742271,10807119,0 days 01:45:14.123551,9.81
71000,710000000,17316425,5827534,10822070,0 days 01:46:04.597002,9.85
72000,720000000,17462484,5897349,10835870,0 days 01:46:51.467378,9.88
73000,730000000,17595712,5969794,10849377,0 days 01:47:38.358059,9.91
74000,740000000,17722291,6028192,10862898,0 days 01:48:24.367801,9.94
75000,750000000,17855180,6089683,10876552,0 days 01:49:12.302009,9.97
76000,760000000,18049576,6152953,10891461,0 days 01:50:04.928186,10.01
77000,770000000,18201562,6206631,10905083,0 days 01:50:54.780821,10.05
78000,780000000,18357811,6264525,10919380,0 days 01:51:45.330675,10.08
79000,790000000,18519148,6314005,10933529,0 days 01:52:33.778505,10.12
80000,800000000,18663545,6362675,10947923,0 days 01:53:25.259587,10.16
81000,810000000,18849423,6419373,10963323,0 days 01:54:16.346240,10.2
82000,820000000,19007573,6468299,10978030,0 days 01:55:06.653276,10.23
83000,830000000,19149322,6514326,10992771,0 days 01:55:57.521861,10.27
84000,840000000,19298453,6562896,11007048,0 days 01:56:47.209511,10.3
85000,850000000,19462044,6611768,11022002,0 days 01:57:39.331385,10.33
86000,860000000,19628945,6654587,11037548,0 days 01:58:30.202562,10.37
87000,870000000,19798335,6703601,11053246,0 days 01:59:21.962712,10.42
88000,880000000,20041122,6753577,11068870,0 days 02:00:16.016090,10.5
89000,890000000,20228612,6794554,11084808,0 days 02:01:09.583611,10.55
90000,900000000,20422290,6849159,11100117,0 days 02:02:02.183263,10.59
91000,910000000,20664767,6902602,11115251,0 days 02:02:54.395463,10.65
92000,920000000,20885243,6949982,11131569,0 days 02:03:45.832436,10.7
93000,930000000,21092872,7000742,11146811,0 days 02:04:37.511510,10.74
94000,940000000,21281945,7050484,11161478,0 days 02:05:29.180864,10.79
95000,950000000,21507659,7106750,11177129,0 days 02:06:22.042823,10.84
96000,960000000,21740300,7161549,11192689,0 days 02:07:15.279377,10.9
97000,970000000,21955981,7216965,11207748,0 days 02:08:08.341158,10.95
98000,980000000,22179927,7264507,11223674,0 days 02:09:00.445773,11.0
99000,990000000,22413988,7316282,11239419,0 days 02:09:54.481381,11.05
100000,1000000000,22644221,7374462,11255651,0 days 02:10:48.239963,11.1
101000,1010000000,22848382,7426640,11271153,0 days 02:11:40.144119,11.15
102000,1020000000,23077857,7483640,11285715,0 days 02:12:31.548917,11.2
103000,1030000000,23322396,7544775,11300373,0 days 02:13:27.011535,11.25
104000,1040000000,23567241,7600522,11314738,0 days 02:14:20.845776,11.31
105000,1050000000,23854653,7662428,11329919,0 days 02:15:15.245372,11.37
106000,1060000000,24050971,7713922,11345051,0 days 02:16:06.710959,11.42
107000,1070000000,24244061,7757945,11360872,0 days 02:16:59.054821,11.46
108000,1080000000,24452502,7809660,11375437,0 days 02:17:53.190053,11.51
109000,1090000000,24638348,7855095,11389764,0 days 02:18:45.305374,11.55
110000,1100000000,24812977,7896610,11404230,0 days 02:19:38.798328,11.59
111000,1110000000,24999266,7943877,11418163,0 days 02:20:32.470023,11.63
112000,1120000000,25172673,7987746,11432325,0 days 02:21:25.678687,11.67
113000,1130000000,25488950,8027691,11447084,0 days 02:22:19.717111,11.74
114000,1140000000,25769695,8070977,11461809,0 days 02:23:14.130061,11.82
115000,1150000000,26015503,8126343,11476540,0 days 02:24:10.001864,11.88
116000,1160000000,26208440,8171410,11491168,0 days 02:25:04.170907,11.93
117000,1170000000,26391101,8221424,11505391,0 days 02:25:58.814926,11.97
118000,1180000000,26585417,8274555,11520011,0 days 02:26:52.004661,12.02
119000,1190000000,26772817,8323276,11534025,0 days 02:27:45.465577,12.05
120000,1200000000,26985865,8385604,11548319,0 days 02:28:40.479136,12.11
121000,1210000000,27207794,8450566,11563333,0 days 02:29:38.098167,12.16
122000,1220000000,27422076,8503963,11577970,0 days 02:30:33.010453,12.21
123000,1230000000,27698996,8595759,11593438,0 days 02:31:32.319320,12.28
124000,1240000000,28007587,8678516,11608886,0 days 02:32:32.354170,12.35
125000,1250000000,28312678,8758702,11624480,0 days 02:33:31.842895,12.43
126000,1260000000,28593577,8837853,11640004,0 days 02:34:29.800230,12.49
