chunk,rows_processed,n_blacklisted,max_block,processed_after,ram_usage_gb
1,10000,0,853,0 days 00:00:00.086819,0.73
1000,10000000,65446,1662245,0 days 00:00:45.679287,0.74
2000,20000000,316561,2322303,0 days 00:01:41.956776,0.77
3000,30000000,329228,2357916,0 days 00:02:02.854154,0.77
4000,40000000,329527,,0 days 00:02:20.181384,0.77
5000,50000000,330017,2360684,0 days 00:02:37.026042,0.78
6000,60000000,330513,,0 days 00:02:54.209522,0.78
7000,70000000,330843,,0 days 00:03:10.567513,0.77
8000,80000000,331045,,0 days 00:03:28.271366,0.77
9000,90000000,331392,,0 days 00:03:44.717024,0.77
10000,100000000,332019,2367225,0 days 00:04:01.751271,0.77
11000,110000000,332747,2368846,0 days 00:04:18.441216,0.77
12000,120000000,333520,,0 days 00:05:36.776945,0.8
13000,130000000,356914,2382666,0 days 00:07:00.837925,0.81
14000,140000000,357453,2384726,0 days 00:07:28.318571,0.81
15000,150000000,358010,,0 days 00:07:59.873326,0.81
16000,160000000,364200,2404039,0 days 00:08:25.513870,0.81
17000,170000000,364904,,0 days 00:08:49.055899,0.81
18000,180000000,365537,,0 days 00:09:12.664152,0.81
19000,190000000,367812,,0 days 00:09:36.324651,0.81
20000,200000000,370233,2415839,0 days 00:10:00.373104,0.81
21000,210000000,389338,2425335,0 days 00:10:21.358682,0.81
22000,220000000,390178,2429260,0 days 00:10:42.059526,0.81
23000,230000000,390978,2434884,0 days 00:11:01.915585,0.81
24000,240000000,395094,2450916,0 days 00:11:21.867460,0.81
25000,250000000,463962,2683237,0 days 00:11:55.253226,0.82
26000,260000000,475717,2707472,0 days 00:12:17.320175,0.82
27000,270000000,570254,2977010,0 days 00:12:53.814700,0.83
28000,280000000,1143162,3613703,0 days 00:14:05.171303,0.9
29000,290000000,2122016,3842364,0 days 00:15:11.715377,1.04
30000,300000000,3204402,3967745,0 days 00:16:20.479954,1.24
31000,310000000,3986993,4084669,0 days 00:17:26.113644,1.31
32000,320000000,4786295,4168034,0 days 00:18:27.223429,1.39
33000,330000000,5619648,4231285,0 days 00:19:30.217598,1.64
34000,340000000,6388359,4287050,0 days 00:20:30.400344,1.71
35000,350000000,7074688,4344854,0 days 00:21:26.029984,1.78
36000,360000000,7746471,4411524,0 days 00:22:20.673592,1.85
37000,370000000,8322690,4483866,0 days 00:23:08.311843,1.9
38000,380000000,9014245,4561804,0 days 00:23:57.871220,1.97
39000,390000000,9779181,4630816,0 days 00:24:51.181153,2.04
40000,400000000,10794250,4685892,0 days 00:25:49.292259,2.14
41000,410000000,11852644,4730121,0 days 00:26:52.086513,2.58
42000,420000000,13166684,4769349,0 days 00:27:54.404729,2.71
43000,430000000,14499402,4812983,0 days 00:28:56.656079,2.84
44000,440000000,16098197,4851467,0 days 00:30:04.566859,3.0
45000,450000000,17958710,4885551,0 days 00:31:20.333034,3.18
46000,460000000,19621220,4921937,0 days 00:32:33.130174,3.34
47000,470000000,20887612,4960050,0 days 00:33:39.634581,3.48
48000,480000000,21929100,5004324,0 days 00:34:40.764460,3.61
49000,490000000,22909770,5047482,0 days 00:35:44.035824,4.34
50000,500000000,23698420,5092423,0 days 00:36:37.000076,4.42
51000,510000000,24422153,5137400,0 days 00:37:30.568017,4.49
52000,520000000,25109854,5185930,0 days 00:38:21.374119,4.55
53000,530000000,25759761,5237083,0 days 00:39:13.032149,4.62
54000,540000000,26383033,5285375,0 days 00:40:01.028913,4.68
55000,550000000,26929132,5336016,0 days 00:40:48.717296,4.73
56000,560000000,27417644,5385097,0 days 00:41:34.076705,4.78
57000,570000000,27930113,5429945,0 days 00:42:18.098643,4.83
58000,580000000,28428210,5470478,0 days 00:43:02.378328,4.88
59000,590000000,29031641,5508462,0 days 00:43:48.079205,4.94
60000,600000000,29577119,5550626,0 days 00:44:35.852568,4.99
61000,610000000,30178927,5589648,0 days 00:45:24.783038,5.05
62000,620000000,30817453,5630161,0 days 00:46:12.457454,5.11
63000,630000000,31500259,5671152,0 days 00:47:02.955588,5.18
64000,640000000,32170500,5714552,0 days 00:47:53.047248,5.25
65000,650000000,32833191,5759489,0 days 00:48:42.721901,5.31
66000,660000000,33455310,5807521,0 days 00:49:31.269632,5.37
67000,670000000,34066789,5853354,0 days 00:50:19.239664,5.43
68000,680000000,34511835,5897304,0 days 00:51:04.548287,5.47
69000,690000000,34794962,5938974,0 days 00:51:43.431269,5.5
70000,700000000,35094314,5978680,0 days 00:52:20.048818,5.53
71000,710000000,35612552,6021687,0 days 00:53:05.371250,5.58
72000,720000000,36263216,6066409,0 days 00:53:51.564147,5.64
73000,730000000,36805369,6110594,0 days 00:54:38.139672,5.7
74000,740000000,37266222,6153591,0 days 00:55:26.407327,5.74
75000,750000000,37621775,6195910,0 days 00:56:09.468820,5.78
76000,760000000,37952038,6237166,0 days 00:56:50.905997,5.8
77000,770000000,38333700,6279763,0 days 00:57:33.650276,5.85
78000,780000000,38647766,6322956,0 days 00:58:16.025195,5.91
79000,790000000,38908780,6364733,0 days 00:58:55.428832,5.9
80000,800000000,39170059,6406092,0 days 00:59:34.255049,5.93
81000,810000000,39457358,6452203,0 days 01:00:14.728248,5.96
82000,820000000,39810701,6503574,0 days 01:00:57.944641,5.99
83000,830000000,40149583,6552047,0 days 01:01:41.080934,6.03
84000,840000000,40499686,6601261,0 days 01:02:23.862126,6.07
85000,850000000,40919802,6649720,0 days 01:03:09.522866,6.1
86000,860000000,41291324,6697477,0 days 01:03:51.721554,6.14
87000,870000000,41653876,6743428,0 days 01:04:33.550224,6.18
88000,880000000,41988650,6788836,0 days 01:05:14.314799,6.21
89000,890000000,42235501,6827806,0 days 01:05:52.148077,6.23
90000,900000000,42550926,6867661,0 days 01:06:31.018635,6.26
91000,910000000,42876919,6909983,0 days 01:07:09.558132,6.29
92000,920000000,43201096,6951147,0 days 01:07:48.992826,6.32
93000,930000000,43495643,6994411,0 days 01:08:27.813956,6.35
94000,940000000,43817238,7034754,0 days 01:09:06.181292,6.39
95000,950000000,44156862,7079140,0 days 01:09:47.274837,6.42
96000,960000000,44494010,7123304,0 days 01:10:27.126518,6.45
97000,970000000,44806651,7163865,0 days 01:11:12.705639,7.83
98000,980000000,45052650,7208184,0 days 01:11:51.015253,7.85
99000,990000000,45403045,7247886,0 days 01:12:31.897806,7.88
100000,1000000000,45761011,7285983,0 days 01:13:12.389764,7.92
101000,1010000000,46039439,7328922,0 days 01:13:48.692779,7.95
102000,1020000000,46341105,7371601,0 days 01:14:25.020339,7.98
103000,1030000000,46680446,7416503,0 days 01:15:04.420423,8.01
104000,1040000000,47035747,7458658,0 days 01:15:43.857282,8.08
105000,1050000000,47426492,7499701,0 days 01:16:23.955980,8.09
106000,1060000000,47808448,7542861,0 days 01:17:04.491168,8.12
107000,1070000000,48192474,7586096,0 days 01:17:46.095776,8.24
108000,1080000000,48632631,7626751,0 days 01:18:26.952621,8.2
109000,1090000000,49000576,7670271,0 days 01:19:08.196116,8.24
110000,1100000000,49409428,7713334,0 days 01:19:48.471863,8.28
111000,1110000000,49824491,7751375,0 days 01:20:27.027956,8.32
112000,1120000000,50392836,7788775,0 days 01:21:08.818673,8.38
113000,1130000000,50895452,7825074,0 days 01:21:48.783628,8.42
114000,1140000000,51396767,7858632,0 days 01:22:26.086721,8.47
115000,1150000000,52092611,7891467,0 days 01:23:07.425077,8.54
