chunk,rows_processed,n_blacklisted,max_block,processed_after,ram_usage_gb
1,10000,0,9000025,0 days 00:42:01.978209,0.74
1000,10000000,0,9032059,0 days 00:42:26.906528,0.74
2000,20000000,0,9068329,0 days 00:42:52.346021,0.74
3000,30000000,0,9103743,0 days 00:43:17.933776,0.74
4000,40000000,101577,9134567,0 days 00:43:45.334045,0.76
5000,50000000,452627,9169110,0 days 00:44:18.517529,0.81
6000,60000000,727579,9206801,0 days 00:44:49.608635,0.85
7000,70000000,999978,9247478,0 days 00:45:21.155772,0.88
8000,80000000,1263818,9285575,0 days 00:45:52.442719,0.91
9000,90000000,1534484,9321666,0 days 00:46:23.924554,0.98
10000,100000000,1760918,9361506,0 days 00:46:54.589826,1.0
11000,110000000,1982114,9396742,0 days 00:47:24.546015,1.02
12000,120000000,2171281,9426389,0 days 00:47:52.916606,1.04
13000,130000000,2403169,9454983,0 days 00:48:22.263245,1.06
14000,140000000,2703615,9482766,0 days 00:48:53.269718,1.09
15000,150000000,2943495,9512161,0 days 00:49:24.211394,1.2
16000,160000000,3221452,9546383,0 days 00:49:56.675540,1.23
17000,170000000,3486720,9575017,0 days 00:50:29.231355,1.25
18000,180000000,3781124,9609145,0 days 00:51:02.965274,1.28
19000,190000000,4047435,9638524,0 days 00:51:35.718839,1.31
20000,200000000,4257717,9661474,0 days 00:52:05.540765,1.33
21000,210000000,4508325,9685719,0 days 00:52:36.766559,1.35
22000,220000000,4819490,9712498,0 days 00:53:08.598739,1.38
23000,230000000,5218300,9744348,0 days 00:53:41.715512,1.42
24000,240000000,5538698,9778225,0 days 00:54:14.961784,1.45
25000,250000000,5865023,9811761,0 days 00:54:48.839001,1.66
26000,260000000,6193035,9840997,0 days 00:55:21.893104,1.69
27000,270000000,6485737,9870416,0 days 00:55:54.605095,1.72
28000,280000000,6835842,9899352,0 days 00:56:28.899485,1.75
29000,290000000,7237733,9929262,0 days 00:57:04.490251,1.79
30000,300000000,7684077,9959167,0 days 00:57:40.617476,1.83
31000,310000000,8132422,9988279,0 days 00:58:17.405147,1.88
32000,320000000,8516236,10018339,0 days 00:58:53.623514,1.92
33000,330000000,8958643,10046479,0 days 00:59:30.709604,1.96
34000,340000000,9382855,10076941,0 days 01:00:10.164248,2.0
35000,350000000,9784619,10104534,0 days 01:00:47.614597,2.04
36000,360000000,10219761,10132539,0 days 01:01:25.738901,2.08
37000,370000000,10713904,10161368,0 days 01:02:05.331701,2.13
38000,380000000,11220377,10190865,0 days 01:02:45.481522,2.52
39000,390000000,11720317,10220971,0 days 01:03:24.937655,2.57
40000,400000000,12155033,10250205,0 days 01:04:03.180902,2.61
41000,410000000,12563282,10279499,0 days 01:04:41.570509,2.65
42000,420000000,12958901,10304376,0 days 01:05:18.067629,2.69
43000,430000000,13303066,10325311,0 days 01:05:53.329577,2.72
44000,440000000,13682342,10346574,0 days 01:06:32.699244,2.76
45000,450000000,14063758,10370143,0 days 01:07:14.476227,2.8
46000,460000000,14402926,10391747,0 days 01:07:53.038380,2.83
47000,470000000,14756442,10414793,0 days 01:08:32.192446,2.87
48000,480000000,15127817,10436891,0 days 01:09:11.008605,2.9
49000,490000000,15499293,10458613,0 days 01:09:48.961398,2.94
50000,500000000,15871840,10481020,0 days 01:10:28.964894,2.97
51000,510000000,16139138,10499227,0 days 01:11:04.036079,3.0
52000,520000000,16434669,10517761,0 days 01:11:39.495729,3.03
53000,530000000,16722582,10535374,0 days 01:12:15.069657,3.06
54000,540000000,17058124,10553106,0 days 01:12:51.795315,3.09
55000,550000000,17379416,10571005,0 days 01:13:28.637731,3.12
56000,560000000,17709866,10589150,0 days 01:14:05.218007,3.16
57000,570000000,18076037,10607935,0 days 01:14:42.752952,3.19
58000,580000000,18393736,10625524,0 days 01:15:19.290087,3.22
59000,590000000,18680070,10641612,0 days 01:15:53.931596,3.25
60000,600000000,18903718,10656636,0 days 01:16:25.826258,3.27
