chunk,rows_processed,n_blacklisted,max_block,processed_after,ram_usage_gb
1,10000,0,853,0 days 00:00:00.059791,0.75
1000,10000000,0,1662245,0 days 00:01:12.969732,0.76
2000,20000000,1,2322303,0 days 00:02:26.712092,0.76
3000,30000000,1,2357916,0 days 00:02:49.003800,0.76
4000,40000000,1,,0 days 00:03:06.875423,0.77
5000,50000000,1,2360684,0 days 00:03:24.799897,0.76
6000,60000000,1,,0 days 00:03:43.179374,0.77
7000,70000000,1,,0 days 00:04:01.567603,0.76
8000,80000000,1,,0 days 00:04:20.263351,0.76
9000,90000000,1,,0 days 00:04:38.500925,0.76
10000,100000000,1,2367225,0 days 00:04:56.135327,0.77
11000,110000000,1,2368846,0 days 00:05:13.829581,0.76
12000,120000000,1,,0 days 00:06:32.543391,0.78
13000,130000000,1,2382666,0 days 00:07:48.014531,0.79
14000,140000000,1,2384726,0 days 00:08:12.863611,0.79
15000,150000000,1,,0 days 00:08:41.119129,0.79
16000,160000000,1,2404039,0 days 00:09:07.157855,0.79
17000,170000000,1,,0 days 00:09:31.137821,0.79
18000,180000000,1,,0 days 00:09:55.425142,0.79
19000,190000000,1,,0 days 00:10:19.774763,0.79
20000,200000000,1,2415839,0 days 00:10:43.989784,0.79
21000,210000000,1,2425335,0 days 00:11:05.335268,0.79
22000,220000000,1,2429260,0 days 00:11:26.164575,0.79
23000,230000000,1,2434884,0 days 00:11:46.921342,0.79
24000,240000000,1,2450916,0 days 00:12:09.692799,0.78
25000,250000000,1,2683237,0 days 00:12:49.245235,0.79
26000,260000000,1,2707472,0 days 00:13:14.509739,0.79
27000,270000000,1,2977010,0 days 00:13:56.177113,0.79
28000,280000000,43857,3613703,0 days 00:15:19.759390,0.79
29000,290000000,290851,3842364,0 days 00:16:35.109953,0.84
30000,300000000,497276,3967745,0 days 00:17:53.737298,0.89
31000,310000000,649500,4084669,0 days 00:19:08.131962,0.91
32000,320000000,821398,4168034,0 days 00:20:16.443084,0.93
33000,330000000,996476,4231285,0 days 00:21:22.576423,1.0
34000,340000000,1189643,4287050,0 days 00:22:27.465187,1.02
35000,350000000,1362552,4344854,0 days 00:23:31.025064,1.05
36000,360000000,1519270,4411524,0 days 00:24:33.066789,1.07
37000,370000000,1676637,4483866,0 days 00:25:27.173669,1.09
38000,380000000,1861758,4561804,0 days 00:26:24.071242,1.2
39000,390000000,2087885,4630816,0 days 00:27:26.011150,1.22
40000,400000000,2290092,4685892,0 days 00:28:33.936717,1.25
41000,410000000,2494819,4730121,0 days 00:29:43.872846,1.28
42000,420000000,2751541,4769349,0 days 00:30:54.232791,1.32
43000,430000000,3010250,4812983,0 days 00:32:04.936543,1.35
44000,440000000,3303038,4851467,0 days 00:33:21.055015,1.38
45000,450000000,3603695,4885551,0 days 00:34:42.949413,1.42
46000,460000000,3853305,4921937,0 days 00:36:06.735015,1.46
47000,470000000,4066412,4960050,0 days 00:37:23.888903,1.65
48000,480000000,4269871,5004324,0 days 00:38:32.786926,1.68
49000,490000000,4465632,5047482,0 days 00:39:42.648073,1.7
50000,500000000,4660635,5092423,0 days 00:40:45.142504,1.73
51000,510000000,4848356,5137400,0 days 00:41:50.034834,1.75
52000,520000000,5063023,5185930,0 days 00:42:52.827912,1.78
53000,530000000,5298275,5237083,0 days 00:43:56.878883,1.81
54000,540000000,5518307,5285375,0 days 00:44:55.994910,1.84
55000,550000000,5702669,5336016,0 days 00:45:56.427760,1.87
56000,560000000,5903609,5385097,0 days 00:46:52.241972,1.89
57000,570000000,6132731,5429945,0 days 00:47:45.371577,1.92
58000,580000000,6347645,5470478,0 days 00:48:38.111657,1.95
59000,590000000,6621013,5508462,0 days 00:49:32.448610,1.99
60000,600000000,6825173,5550626,0 days 00:50:32.516956,2.01
61000,610000000,7027689,5589648,0 days 00:51:34.026166,2.04
62000,620000000,7284035,5630161,0 days 00:52:31.979154,2.07
63000,630000000,7581115,5671152,0 days 00:53:31.992807,2.11
64000,640000000,7858654,5714552,0 days 00:54:35.818575,2.15
65000,650000000,8172481,5759489,0 days 00:55:37.976755,2.53
66000,660000000,8430430,5807521,0 days 00:56:36.908573,2.56
67000,670000000,8721831,5853354,0 days 00:57:34.298704,2.6
68000,680000000,8919303,5897304,0 days 00:58:28.892779,2.62
69000,690000000,9047328,5938974,0 days 00:59:15.051617,2.64
70000,700000000,9178151,5978680,0 days 00:59:58.529895,2.66
71000,710000000,9433050,6021687,0 days 01:00:53.821007,2.69
72000,720000000,9789548,6066409,0 days 01:01:53.415492,2.74
73000,730000000,10085981,6110594,0 days 01:02:51.899659,2.77
74000,740000000,10294264,6153591,0 days 01:03:51.948682,2.8
75000,750000000,10460528,6195910,0 days 01:04:44.831736,2.82
76000,760000000,10620566,6237166,0 days 01:05:35.376548,2.84
77000,770000000,10802932,6279763,0 days 01:06:30.237407,2.87
78000,780000000,10925625,6322956,0 days 01:07:22.671615,2.89
79000,790000000,11034190,6364733,0 days 01:08:10.335980,2.9
80000,800000000,11139175,6406092,0 days 01:08:56.264476,2.91
81000,810000000,11254366,6452203,0 days 01:09:43.929606,2.93
82000,820000000,11397396,6503574,0 days 01:10:38.793642,2.95
83000,830000000,11540799,6552047,0 days 01:11:30.501674,2.97
84000,840000000,11712958,6601261,0 days 01:12:22.023293,3.01
85000,850000000,11858147,6649720,0 days 01:13:13.838916,3.0
86000,860000000,12007208,6697477,0 days 01:14:06.568968,3.03
87000,870000000,12144598,6743428,0 days 01:14:56.725732,3.05
88000,880000000,12266062,6788836,0 days 01:15:45.231543,3.06
89000,890000000,12355868,6827806,0 days 01:16:30.150022,3.07
90000,900000000,12459385,6867661,0 days 01:17:15.686959,3.08
91000,910000000,12573727,6909983,0 days 01:18:02.208480,3.1
92000,920000000,12693088,6951147,0 days 01:18:48.622281,3.12
93000,930000000,12800573,6994411,0 days 01:19:34.563612,3.14
94000,940000000,12926302,7034754,0 days 01:20:19.885815,3.15
95000,950000000,13041154,7079140,0 days 01:21:09.369569,3.16
96000,960000000,13149644,7123304,0 days 01:21:57.096478,3.18
97000,970000000,13253569,7163865,0 days 01:22:46.305306,3.19
98000,980000000,13334704,7208184,0 days 01:23:32.188518,3.2
99000,990000000,13456714,7247886,0 days 01:24:21.000213,3.22
100000,1000000000,13567508,7285983,0 days 01:25:09.217368,3.23
101000,1010000000,13658512,7328922,0 days 01:25:52.138620,3.24
102000,1020000000,13753213,7371601,0 days 01:26:35.461376,3.26
103000,1030000000,13870935,7416503,0 days 01:27:21.935710,3.27
104000,1040000000,13989855,7458658,0 days 01:28:09.712745,3.29
105000,1050000000,14104569,7499701,0 days 01:28:58.054116,3.3
106000,1060000000,14230673,7542861,0 days 01:29:47.034929,3.32
107000,1070000000,14357889,7586096,0 days 01:30:39.156314,3.34
108000,1080000000,14522980,7626751,0 days 01:31:27.850196,3.36
109000,1090000000,14657654,7670271,0 days 01:32:15.251813,3.38
110000,1100000000,14797874,7713334,0 days 01:33:02.296375,3.4
111000,1110000000,14926949,7751375,0 days 01:33:47.770298,3.41
112000,1120000000,15089482,7788775,0 days 01:34:38.689737,3.43
113000,1130000000,15240987,7825074,0 days 01:35:26.071186,3.45
