chunk,rows_processed,n_blacklisted,max_block,processed_after,ram_usage_gb
1,10000,0,9000025,0 days 00:44:09.183323,0.8
1000,10000000,0,9032059,0 days 00:44:50.017167,0.8
2000,20000000,0,9068329,0 days 00:45:27.683805,0.8
3000,30000000,0,9103743,0 days 00:46:05.344224,0.8
4000,40000000,12449,9134567,0 days 00:46:44.606305,0.8
5000,50000000,87702,9169110,0 days 00:47:28.157991,0.82
6000,60000000,173608,9206801,0 days 00:48:07.443886,0.83
7000,70000000,266939,9247478,0 days 00:48:51.069348,0.86
8000,80000000,361881,9285575,0 days 00:49:31.656989,0.86
9000,90000000,466034,9321666,0 days 00:50:11.751010,0.87
10000,100000000,550026,9361506,0 days 00:50:51.272091,0.93
11000,110000000,634684,9396742,0 days 00:51:29.080141,0.92
12000,120000000,708494,9426389,0 days 00:52:04.775301,0.93
13000,130000000,796236,9454983,0 days 00:52:43.099640,0.94
14000,140000000,917194,9482766,0 days 00:53:21.725828,0.96
15000,150000000,1008185,9512161,0 days 00:54:00.489842,1.01
16000,160000000,1112689,9546383,0 days 00:54:41.367561,1.03
17000,170000000,1207312,9575017,0 days 00:55:19.239291,1.04
18000,180000000,1318696,9609145,0 days 00:56:00.145888,1.06
19000,190000000,1415446,9638524,0 days 00:56:40.835505,1.07
20000,200000000,1489197,9661474,0 days 00:57:15.896339,1.08
21000,210000000,1582618,9685719,0 days 00:57:53.087017,1.09
22000,220000000,1690071,9712498,0 days 00:58:31.737680,1.11
23000,230000000,1812586,9744348,0 days 00:59:13.033855,1.12
24000,240000000,1946014,9778225,0 days 00:59:55.398107,1.22
25000,250000000,2082484,9811761,0 days 01:00:39.169245,1.24
26000,260000000,2216370,9840997,0 days 01:01:21.587985,1.26
27000,270000000,2355106,9870416,0 days 01:02:03.048960,1.27
28000,280000000,2520496,9899352,0 days 01:02:47.641103,1.3
29000,290000000,2684722,9929262,0 days 01:03:32.680549,1.32
30000,300000000,2890596,9959167,0 days 01:04:19.225244,1.35
31000,310000000,3081799,9988279,0 days 01:05:08.924675,1.37
32000,320000000,3242802,10018339,0 days 01:05:55.427973,1.39
33000,330000000,3418195,10046479,0 days 01:06:43.157983,1.42
